run_index,scenario,decision_id,intent_hash,policy_version,verdict,verdict_name,reason_code,reason_name,ledger_seq
1,1,37ba5f064522e0978dbc033c52e3b3e69a864d62126ccab85d81db75fb76603f,b5a124f23f18c3d97c1d34c4ee5a7cd2cf30c491f44cab981b338a38a74983bd,1,0,Approved,0,Ok,4496439
2,1,c177db1ad47ac3c8ddaa72edd86b3c1709b754dbce71a32d96fba756f00accb5,befb88631339c7910d1031cc300c5cb783860308d3b3640827ba7fab1d7517c1,1,0,Approved,0,Ok,4496441
3,1,510dfd9c5002fb50016193df16209b70e04f5fd99c47c9cb25f33c55f44dd327,55f68fa37bc8ee5d969d3686c0b755fdfb765719a9c63b36699fd559a0a2c70b,1,0,Approved,0,Ok,4496443
4,1,b5b819ebd909662fa4fcc2f460af7084bfc9d09a64f6bbec6dd3b01d387fe959,bdc632d4bff53db257d591b6ddb8a58f10a3ec25a20769be409c982efa52116b,1,0,Approved,0,Ok,4496445
5,1,40a865d180b7a5e567412358615b5c520e06133e3521dfc7990ba2a196c88ba7,557f826307a9e07169b88098e46594cd88d785ca49732b94ee35f541a3b5b2f4,1,0,Approved,0,Ok,4496447
6,1,55ae5ac7c7eacfe7bc636171385b91c61cbb8018d43064b8d16aa415d6987d97,87eb98f884bdafced9066722b044a12afc658d036e4f0c6b9e037a4c33b51d95,1,0,Approved,0,Ok,4496449
7,1,6d68b160c4430bd35d43f4cbbf697dc6a977fb9ccb205c8ba7265d3915c87c89,35425875bc0ddb493ffd0b27f8f45129d2ed115b6547e8a011ecc226311de6cd,1,0,Approved,0,Ok,4496451
8,1,63e95f08b307f679b6cc74879e87b22acdd2ceb35e084fab8955719cf656dad6,2aaefd2799717de3948ec05c912d12f2b045b5df9a9a61370263544bf12aa9db,1,0,Approved,0,Ok,4496453
9,1,8fae4f435efbbc05b17bdf83323ca3a83b09d2a84ef8d38feb2306c62871ef8d,30e3e7dbd7c520028723c29e8ca06419f2d81d0c9d125d7fd232fbf190a44b1b,1,0,Approved,0,Ok,4496455
10,1,f4f74405eb37881a3b2b13bd242a2e1b1eef5979ecced6b32a7cf8578dd686ab,44aea3a844b3623a1eea74498b2ab9bbdf00bd3f3ef5c5f2350abe9fa30d72a3,1,0,Approved,0,Ok,4496457
11,2,408cf2f0935d36818b070ca17800ffa36df44656dd95a028b5ab18a10bf8543b,149d02c47dc0da138f04761063f2a1e7ac54e5190570f7a4efcb98c22cc76909,1,1,Rejected,1,CapExceeded,4496459
12,2,f8e0e1e6375422740792d34698ce8df422eebddacdab50b07bb5ec868b285072,6da7ce93564f583750f97bc792534a80784ae692f3efeed0f5e3c47ceab8a69b,1,1,Rejected,1,CapExceeded,4496461
13,2,d15fa65d82835ed7f7447d0dde4856955a5fa6656dd7b7f3c4a78cf5b042ed85,34517cdf9d3a97a0ab8150efd2813a575a9830c2e35448363184e8c67245fd44,1,1,Rejected,1,CapExceeded,4496463
14,2,bcce910b3f52343270b2a9b9f4919ccbd268fe051a840817e405ce4811c12734,d095f9aeee0936f5b6ad0d4429165246cc7af21236d48b45cc4d1097fdd51424,1,1,Rejected,1,CapExceeded,4496465
15,2,066a6a9cb511451515f5bda82c288d093202c4e1ac3e19d949389b52b4373b72,48cf837775cd06c20eae7522db062ba50c8ef41e0d333ca2c59adfb3c7b6cb5e,1,1,Rejected,1,CapExceeded,4496467
16,2,57e923505f64a787ade75323d8a1fc46134236a790109a66df1fde5844d1f3bc,b37ea208b45cd174e4c8941b84a27323a0c70e9f4d47b25edc19a5603dde8923,1,1,Rejected,1,CapExceeded,4496469
17,2,e69f9826e6f29afcf94845c3b89810988c993099857ba2533638105f559cd8d6,bc8779a17c8d89b441d8af3ef4435eaddce708ac1a14b6032d05f8a96dcbb1a2,1,1,Rejected,1,CapExceeded,4496471
18,2,ec88a1d62befff901061daee56a530a2aaf8e1c4f8a554269826699b155887e2,14e8bd74bacb2813a65edecca8785997c70d79d4732a737a60e03e206dffecd7,1,1,Rejected,1,CapExceeded,4496473
19,2,7d2306e489746ab43178a840019c4baab725f2e4b8efb646c7586c72a4ac9ff6,c0fcc096a6484a96277fea3600a3fe998aad0bca81ea80206ffe04e93a67ece1,1,1,Rejected,1,CapExceeded,4496475
20,2,a5aaa7fc511435b76b420a6ebf0fb63485026d4064415fb8c9b2142a369eddb1,c1c4b4d44e3446c6da1361e5538a66cbe7b5a16c66edd32abd2a64bd9e24462b,1,1,Rejected,1,CapExceeded,4496477
21,3,d832df75af0dbdb6680a4c9c0cb58c01f7bbb31f57042856174fb955cbb61350,2fca457436af335564490dd2fb3b4ad341928dd146ed1571b5cb15482f20a192,1,1,Rejected,2,ServiceNotAllowed,4496479
22,3,ab9005b7c3a16c4a10ed68e6203afe457d1b77482d1586b9ceabb014ed525060,248c0a9596bd39c69237210579c82e5dabaeb802c4c9b49a582b6e63ceb3e072,1,1,Rejected,2,ServiceNotAllowed,4496481
23,3,6f1ad0a952ded24d3039b18cd9df176a594e09518514156701574fae77a46a15,8320bb3e5861e19e39ed57868ad60cf86845821b694cce6333b3210e72715fe3,1,1,Rejected,2,ServiceNotAllowed,4496483
24,3,ac627fa8d21f8b66c8013aeaee1242c76375f5c0abef2e914d54b7174ca63da4,5043a2348cbffd7d4f392e85465a8b7ee2cd5549bb393a2f029b5642bfd1f2fc,1,1,Rejected,2,ServiceNotAllowed,4496485
25,3,f4f3f233c42fbe0193e986d606d513f00d4409ffaab8e00f68a4c9a0b0c4b0d5,218d73d5caa76f949ffa68b046d984c6379e0d95685d5dcbbd862d5964e2954f,1,1,Rejected,2,ServiceNotAllowed,4496487
26,3,5fe15f5568aafd553ada319d61815b1de32dc253b879f5001dd0d6e6bb6a46af,366145a05cf2c27fba612eb0dff116acfdc2784282254beb4a27d01cc25622d4,1,1,Rejected,2,ServiceNotAllowed,4496489
27,3,c70e6f5513cba43c63d2209aeed4d0abda2ebac59ac7e1268ec4b546e4bf811d,7fa46f4a51747f624acb930a3ab14a80fe71638db991aed7bc061566ca7df457,1,1,Rejected,2,ServiceNotAllowed,4496491
28,3,9c128f273e4aee00ed9115c0d88fad96d365b4deed8cf3291e42bb20f2642871,c8a6be71bbd8aaded89976274654c26d003c9255b41d6e9e51a5202e9544974d,1,1,Rejected,2,ServiceNotAllowed,4496493
29,3,fb1ddecc6553e7279463d1196df7baf3689c85eb9eb2f9c0e8bb8799cebdc8ed,7a3179759f7b1084b8844dc5df1f02963ae36932e92c2c3aab85ec4837bbdfd8,1,1,Rejected,2,ServiceNotAllowed,4496495
30,3,b8bcd6b6383fa4d1fda66ecd7cfc62d08f857c3ea7a52ad45949deca9e698408,e82a0db009381d182a8b60d6f798b59d42fb87fef50c09845868720be9c317c0,1,1,Rejected,2,ServiceNotAllowed,4496497
31,4,c3ed7752f0764f5b0523f81118f1204c7509272c19bd7bfdd400d0e478bfb2d4,b0a66e65ddbfbced217b2f87314e33f4cf6fe743dbe5ef62e0acfbb2bbfe605f,1,1,Rejected,3,AssetMismatch,4496499
32,4,ef6bd07564a156995ba7d3b75e6ec0eb79f7e032ca7705c493459606eaa7f4b5,a4dfa6fcc316dab360a2131c059d2024a5be7249caae10e50e2fdc20784f56d1,1,1,Rejected,3,AssetMismatch,4496501
33,4,1e90628c4348642da20b8f58384d5a814751835115d9ea98cd8c260e1f4791b8,630e91a0298281eda54cd35e3c49bb268ef46a19f43d7536face9f6a2a00f50e,1,1,Rejected,3,AssetMismatch,4496503
